Project Usages

Resource,Type,User,Current used by user,Total used by user,Total used,Reserved value,Date,Uploaded at
cpu,Consumable,vsc46187,453.44 Hours,14976.16 Hours,46350.17 Hours,2330000.0 Hours,20/01/2025 - 00:00,21/01/2025 - 06:03
cpu,Consumable,vsc46187,1562.99 Hours,14522.71 Hours,45896.73 Hours,2330000.0 Hours,19/01/2025 - 00:00,20/01/2025 - 06:03
cpu,Consumable,vsc46187,1789.59 Hours,12959.72 Hours,44333.74 Hours,2330000.0 Hours,18/01/2025 - 00:00,19/01/2025 - 06:03
cpu,Consumable,vsc44251,285.53 Hours,4380.98 Hours,42544.15 Hours,2330000.0 Hours,17/01/2025 - 00:00,18/01/2025 - 06:03
cpu,Consumable,vsc46187,589.12 Hours,11170.13 Hours,42258.62 Hours,2330000.0 Hours,17/01/2025 - 00:00,18/01/2025 - 06:03
cpu,Consumable,vsc46187,528.72 Hours,10581.02 Hours,41669.5 Hours,2330000.0 Hours,16/01/2025 - 00:00,17/01/2025 - 06:03
cpu,Consumable,vsc44251,367.76 Hours,4095.44 Hours,41140.78 Hours,2330000.0 Hours,16/01/2025 - 00:00,17/01/2025 - 06:03
cpu,Consumable,vsc46187,114.47 Hours,10052.29 Hours,40773.02 Hours,2330000.0 Hours,15/01/2025 - 00:00,16/01/2025 - 06:03
cpu,Consumable,vsc46187,1.39 Hours,9937.83 Hours,40658.55 Hours,2330000.0 Hours,14/01/2025 - 00:00,15/01/2025 - 06:03
cpu,Consumable,vsc44251,136.15 Hours,3727.68 Hours,40657.16 Hours,2330000.0 Hours,14/01/2025 - 00:00,15/01/2025 - 06:03
cpu,Consumable,vsc44251,384.15 Hours,3591.54 Hours,40521.02 Hours,2330000.0 Hours,13/01/2025 - 00:00,14/01/2025 - 06:03
cpu,Consumable,vsc46187,177.21 Hours,9936.44 Hours,40136.87 Hours,2330000.0 Hours,13/01/2025 - 00:00,14/01/2025 - 06:03
cpu,Consumable,vsc44251,382.52 Hours,3207.39 Hours,39959.66 Hours,2330000.0 Hours,12/01/2025 - 00:00,13/01/2025 - 06:03
cpu,Consumable,vsc46187,1500.04 Hours,9759.24 Hours,39577.14 Hours,2330000.0 Hours,12/01/2025 - 00:00,13/01/2025 - 06:03
cpu,Consumable,vsc44251,392.48 Hours,2824.86 Hours,38077.1 Hours,2330000.0 Hours,11/01/2025 - 00:00,12/01/2025 - 06:03
cpu,Consumable,vsc46187,1492.45 Hours,8259.2 Hours,37684.62 Hours,2330000.0 Hours,11/01/2025 - 00:00,12/01/2025 - 06:03
cpu,Consumable,vsc44251,417.75 Hours,2432.38 Hours,36192.17 Hours,2330000.0 Hours,10/01/2025 - 00:00,11/01/2025 - 06:03
cpu,Consumable,vsc46187,2173.84 Hours,6766.75 Hours,35774.42 Hours,2330000.0 Hours,10/01/2025 - 00:00,11/01/2025 - 06:03
cpu,Consumable,vsc44251,358.13 Hours,2014.63 Hours,33600.58 Hours,2330000.0 Hours,09/01/2025 - 00:00,10/01/2025 - 06:03
cpu,Consumable,vsc46187,208.61 Hours,4592.91 Hours,33242.45 Hours,2330000.0 Hours,09/01/2025 - 00:00,10/01/2025 - 06:03
cpu,Consumable,vsc44251,381.42 Hours,1656.5 Hours,33033.84 Hours,2330000.0 Hours,08/01/2025 - 00:00,09/01/2025 - 06:03
cpu,Consumable,vsc46187,164.08 Hours,4384.3 Hours,32652.42 Hours,2330000.0 Hours,08/01/2025 - 00:00,09/01/2025 - 06:03
cpu,Consumable,vsc44251,166.0 Hours,1275.08 Hours,32488.34 Hours,2330000.0 Hours,07/01/2025 - 00:00,08/01/2025 - 06:03
cpu,Consumable,vsc44251,330.06 Hours,1109.09 Hours,32322.34 Hours,2330000.0 Hours,06/01/2025 - 00:00,07/01/2025 - 06:03
cpu,Consumable,vsc46187,5.5 Hours,4220.22 Hours,31992.28 Hours,2330000.0 Hours,05/01/2025 - 00:00,06/01/2025 - 06:03
cpu,Consumable,vsc44251,13.4 Hours,779.02 Hours,31986.78 Hours,2330000.0 Hours,05/01/2025 - 00:00,06/01/2025 - 06:03
cpu,Consumable,vsc45925,53.78 Hours,26993.04 Hours,31973.38 Hours,2330000.0 Hours,03/01/2025 - 00:00,04/01/2025 - 06:03
cpu,Consumable,vsc45925,178.57 Hours,26939.26 Hours,31919.6 Hours,2330000.0 Hours,02/01/2025 - 00:00,03/01/2025 - 06:03
cpu,Consumable,vsc45925,382.22 Hours,26760.68 Hours,31741.03 Hours,2330000.0 Hours,01/01/2025 - 00:00,02/01/2025 - 06:03
cpu,Consumable,vsc45925,141.72 Hours,26378.47 Hours,31358.81 Hours,2330000.0 Hours,31/12/2024 - 00:00,01/01/2025 - 06:03
cpu,Consumable,vsc44251,10.39 Hours,765.63 Hours,31217.09 Hours,2330000.0 Hours,17/12/2024 - 00:00,18/12/2024 - 06:03
cpu,Consumable,vsc44251,8.07 Hours,755.24 Hours,31206.7 Hours,2330000.0 Hours,16/12/2024 - 00:00,17/12/2024 - 06:03
cpu,Consumable,vsc46187,47.94 Hours,4214.72 Hours,31198.63 Hours,2330000.0 Hours,16/12/2024 - 00:00,17/12/2024 - 06:03
cpu,Consumable,vsc46187,141.87 Hours,4166.77 Hours,31150.69 Hours,2330000.0 Hours,15/12/2024 - 00:00,16/12/2024 - 06:03
cpu,Consumable,vsc46187,6.53 Hours,4024.9 Hours,31008.82 Hours,2330000.0 Hours,14/12/2024 - 00:00,15/12/2024 - 06:03
cpu,Consumable,vsc44251,336.27 Hours,747.18 Hours,31002.29 Hours,2330000.0 Hours,13/12/2024 - 00:00,14/12/2024 - 06:03
cpu,Consumable,vsc46187,31.34 Hours,4018.37 Hours,30666.02 Hours,2330000.0 Hours,13/12/2024 - 00:00,14/12/2024 - 06:03
cpu,Consumable,vsc44251,375.55 Hours,410.91 Hours,30634.68 Hours,2330000.0 Hours,12/12/2024 - 00:00,13/12/2024 - 06:03
cpu,Consumable,vsc46187,292.85 Hours,3987.03 Hours,30259.13 Hours,2330000.0 Hours,12/12/2024 - 00:00,13/12/2024 - 06:03
cpu,Consumable,vsc44251,11.36 Hours,35.36 Hours,29966.28 Hours,2330000.0 Hours,11/12/2024 - 00:00,12/12/2024 - 06:03
cpu,Consumable,vsc46187,216.01 Hours,3694.18 Hours,29954.92 Hours,2330000.0 Hours,08/12/2024 - 00:00,09/12/2024 - 06:03
cpu,Consumable,vsc46187,2.39 Hours,3478.17 Hours,29738.92 Hours,2330000.0 Hours,07/12/2024 - 00:00,08/12/2024 - 06:03
cpu,Consumable,vsc44251,14.0 Hours,24.0 Hours,29736.53 Hours,2330000.0 Hours,06/12/2024 - 00:00,07/12/2024 - 06:03
cpu,Consumable,vsc46187,0.04 Hours,3475.78 Hours,29722.52 Hours,2330000.0 Hours,05/12/2024 - 00:00,06/12/2024 - 06:03
cpu,Consumable,vsc45925,637.13 Hours,26236.74 Hours,29722.48 Hours,2330000.0 Hours,05/12/2024 - 00:00,06/12/2024 - 06:03
cpu,Consumable,vsc45925,198.66 Hours,25599.61 Hours,29085.35 Hours,2330000.0 Hours,04/12/2024 - 00:00,05/12/2024 - 06:03
cpu,Consumable,vsc44251,1.2 Hours,10.0 Hours,28886.7 Hours,2330000.0 Hours,04/12/2024 - 00:00,05/12/2024 - 06:03
cpu,Consumable,vsc45925,0.42 Hours,25400.95 Hours,28885.5 Hours,2330000.0 Hours,03/12/2024 - 00:00,04/12/2024 - 06:03
cpu,Consumable,vsc44251,8.8 Hours,8.8 Hours,28885.08 Hours,2330000.0 Hours,03/12/2024 - 00:00,04/12/2024 - 06:03
cpu,Consumable,vsc46187,44.45 Hours,3475.74 Hours,28876.28 Hours,2330000.0 Hours,28/11/2024 - 00:00,29/11/2024 - 06:03
cpu,Consumable,vsc46187,216.01 Hours,3431.29 Hours,28831.83 Hours,2330000.0 Hours,26/11/2024 - 00:00,27/11/2024 - 06:03
cpu,Consumable,vsc46187,216.01 Hours,3215.28 Hours,28615.82 Hours,2330000.0 Hours,21/11/2024 - 00:00,22/11/2024 - 06:03
cpu,Consumable,vsc46187,25.01 Hours,2999.27 Hours,28399.81 Hours,2330000.0 Hours,19/11/2024 - 00:00,20/11/2024 - 06:03
cpu,Consumable,vsc46187,246.34 Hours,2974.26 Hours,28374.8 Hours,2330000.0 Hours,18/11/2024 - 00:00,19/11/2024 - 06:03
cpu,Consumable,vsc46187,105.15 Hours,2727.92 Hours,28128.46 Hours,2330000.0 Hours,15/11/2024 - 00:00,16/11/2024 - 06:03
cpu,Consumable,vsc46187,0.89 Hours,2622.76 Hours,28023.3 Hours,2330000.0 Hours,14/11/2024 - 00:00,15/11/2024 - 06:03
cpu,Consumable,vsc46187,32.03 Hours,2621.87 Hours,28022.41 Hours,2330000.0 Hours,08/10/2024 - 00:00,09/10/2024 - 06:03
cpu,Consumable,vsc46187,190.55 Hours,2589.84 Hours,27990.38 Hours,2330000.0 Hours,07/10/2024 - 00:00,08/10/2024 - 06:03
cpu,Consumable,vsc46187,142.13 Hours,2399.29 Hours,27799.83 Hours,2330000.0 Hours,02/10/2024 - 00:00,03/10/2024 - 06:03
cpu,Consumable,vsc46187,35.44 Hours,2257.16 Hours,27657.7 Hours,2330000.0 Hours,01/10/2024 - 00:00,02/10/2024 - 06:03
cpu,Consumable,vsc46187,72.66 Hours,2221.72 Hours,27622.25 Hours,2330000.0 Hours,06/08/2024 - 00:00,07/08/2024 - 06:03
cpu,Consumable,vsc46187,5.21 Hours,2149.05 Hours,27549.59 Hours,2330000.0 Hours,05/08/2024 - 00:00,06/08/2024 - 06:03
cpu,Consumable,vsc45925,2682.56 Hours,25400.54 Hours,27544.38 Hours,2330000.0 Hours,28/06/2024 - 00:00,29/06/2024 - 06:03
cpu,Consumable,vsc45925,8050.28 Hours,22717.98 Hours,24861.82 Hours,2330000.0 Hours,27/06/2024 - 00:00,28/06/2024 - 06:03
cpu,Consumable,vsc45925,2683.41 Hours,14667.7 Hours,16811.55 Hours,2330000.0 Hours,26/06/2024 - 00:00,27/06/2024 - 06:03
cpu,Consumable,vsc45925,6147.41 Hours,11984.29 Hours,14128.13 Hours,2330000.0 Hours,22/06/2024 - 00:00,23/06/2024 - 06:03
cpu,Consumable,vsc45925,52.69 Hours,5836.87 Hours,7980.72 Hours,2330000.0 Hours,21/06/2024 - 00:00,22/06/2024 - 06:03
cpu,Consumable,vsc45925,450.49 Hours,5784.18 Hours,7928.03 Hours,2330000.0 Hours,20/06/2024 - 00:00,21/06/2024 - 06:03
cpu,Consumable,vsc45925,3769.67 Hours,5333.69 Hours,7477.54 Hours,2330000.0 Hours,19/06/2024 - 00:00,20/06/2024 - 06:03
cpu,Consumable,vsc45925,6.47 Hours,1564.02 Hours,3707.87 Hours,2330000.0 Hours,18/06/2024 - 00:00,19/06/2024 - 06:03
cpu,Consumable,vsc46187,83.64 Hours,2143.84 Hours,3701.4 Hours,2330000.0 Hours,16/06/2024 - 00:00,17/06/2024 - 06:03
cpu,Consumable,vsc46187,1502.04 Hours,2060.2 Hours,3617.75 Hours,2330000.0 Hours,14/06/2024 - 00:00,15/06/2024 - 06:03
cpu,Consumable,vsc46187,113.2 Hours,558.16 Hours,2115.71 Hours,2330000.0 Hours,13/06/2024 - 00:00,14/06/2024 - 06:03
cpu,Consumable,vsc45925,1545.1 Hours,1557.55 Hours,2002.52 Hours,2330000.0 Hours,12/06/2024 - 00:00,13/06/2024 - 06:03
cpu,Consumable,vsc45925,12.44 Hours,12.45 Hours,457.41 Hours,2330000.0 Hours,11/06/2024 - 00:00,12/06/2024 - 06:03
cpu,Consumable,vsc46187,216.01 Hours,444.96 Hours,444.97 Hours,2330000.0 Hours,11/06/2024 - 00:00,12/06/2024 - 06:03
cpu,Consumable,vsc46187,216.01 Hours,228.96 Hours,228.96 Hours,2330000.0 Hours,08/06/2024 - 00:00,09/06/2024 - 06:03
cpu,Consumable,vsc45925,0.0 Hours,0.0 Hours,12.95 Hours,2330000.0 Hours,07/06/2024 - 00:00,08/06/2024 - 06:03
cpu,Consumable,vsc46187,12.94 Hours,12.94 Hours,12.94 Hours,2330000.0 Hours,05/06/2024 - 00:00,06/06/2024 - 06:03



Project Logs

Type,Description,User,Date

Usage,vsc44251 used 50.217777777777776 Hours of credits.,vsc44251,31/01/2025 - 00:00
Usage,vsc44251 used 50.217777777777776 Hours of cpu.,vsc44251,31/01/2025 - 00:00
Usage,vsc46187 used 1220.973888888889 Hours of credits.,vsc46187,31/01/2025 - 00:00
Usage,vsc46187 used 28.584722222222204 Hours of cpu.,vsc46187,31/01/2025 - 00:00
Usage,vsc46187 used 67.65194444444444 Hours of cpu.,vsc46187,29/01/2025 - 00:00
Usage,vsc46187 used 2964.9344444444446 Hours of credits.,vsc46187,29/01/2025 - 00:00
Resource Update,1500000.0 Hours has been added to credits.,vsc43020,28/01/2025 - 14:33
Resource Update,1500000.0 Hours has been added to cpu.,vsc43020,28/01/2025 - 14:33
Usage,vsc46187 used 20710.714444444446 Hours of credits.,vsc46187,22/01/2025 - 00:00
Usage,vsc46187 used 470.6980555555556 Hours of cpu.,vsc46187,22/01/2025 - 00:00
Usage,vsc46187 used 5809.173333333332 Hours of credits.,vsc46187,21/01/2025 - 00:00
Usage,vsc46187 used 132.02666666666667 Hours of cpu.,vsc46187,21/01/2025 - 00:00
Usage,vsc46187 used 19951.42111111111 Hours of credits.,vsc46187,20/01/2025 - 00:00
Usage,vsc46187 used 453.4413888888889 Hours of cpu.,vsc46187,20/01/2025 - 00:00
Usage,vsc46187 used 68771.58444444444 Hours of credits.,vsc46187,19/01/2025 - 00:00
Usage,vsc46187 used 1562.990555555556 Hours of cpu.,vsc46187,19/01/2025 - 00:00
Usage,vsc46187 used 84502.27666666667 Hours of credits.,vsc46187,18/01/2025 - 00:00
Usage,vsc46187 used 1789.588611111111 Hours of cpu.,vsc46187,18/01/2025 - 00:00
